data_criacao_processo,numero_da_licitacao,modalidade,atividade,situacao_do_processo,sigla_orgao_processo,nome_orgao_processo,objeto,tipo_de_licitacao,numero_do_edital,total_proposto,total_homologado
"2022-06-21 19:52:04",00029/FUNSEP/2022," ","Criar Processo","Em andamento",FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","CONTRATAÇÃO DE CURSO ONLINE EVENT OFERTADO PELA EMPRESA M P SERVICOS DE PSICOLOGIA LTDA (ETHOS PSICOTESTES), PARA ATENDER AS DEMANDAS DOS ÓRGÃOS DA SEGURANÇA PÚBLICA, RECURSO FUNSEP-AÇÃO 2052","Menor Preco"," ",0,0
"2022-06-21 12:25:09",00006/HEMOAP/2022," ","Concluir com êxito",Concluído,HEMOAP,"INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ","CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO CONTÍNUO, SEM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA, PARA REALIZAÇÃO DE EXAMES (HEMATOLÓGICOS, BIOQUÍMICOS E DE COAGULAÇÃO) EM AMOSTRAS HUMANAS DO LABORATÓRIOS DE ANÁLISES CLÍNICAS, COM FORNECIMENTO DE INSUMOS E REAGENTES E CESSÃO DE EQUIPAMENTOS EM REGIME DE COMODATO.","Menor Preco",106/2022,813756,406869
"2022-06-21 11:04:57",00028/FUNSEP/2022," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MINISTRAR CURSO DE PÓS-GRADUAÇÃO LATO SENSU MASTER BIM SPECIALIST, NA MODALIDADE ENSINO A DISTÂNCIA - EAD, VISANDO ATENDER À SEJUSP, CBMAP E PMAP, COM RECURSOS DO FUNSEP/AP, EIXO ENFRENTAMENTO À CRIMINALIDADE VIOLENTA - REPASSE 2019.","Menor Preco"," ",162000,162000
"2022-06-21 10:50:29",00009/PMAP/2022," ","Concluir com êxito",Concluído,PMAP,"POLÍCIA MILITAR DO ESTADO DO AMAPÁ","AQUISIÇÃO DE TESTES PSICOLÓGICOS PARA A EXECUÇÃO DA 4ª FASE DO CONCURSO PÚBLICO DE SOLDADO 2022 E DE OFICIAIS DA POLÍCIA MILITAR DO AMAPÁ.","Menor Preco"," ",62757.5,62757.5
"2022-06-21 10:00:02",00004/FREBOM/2022," ","Analisar Processo","Em andamento",FREBOM,"FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS","Locação de imóvel tipo Galpão para instalação do Centro de Logística do CBMAP.","Menor Preco"," ",302400,0
"2022-06-21 09:31:14",00027/FUNSEP/2022," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","CONTRATAÇÃO DE 02 (DUAS) ASSINATURAS DO SISTEMA ORÇAFASCIO, OFERTADO PELA 3F LTDA, PELO PERÍODO DE 36 (TRINTA E SEIS) MESES, VISANDO A ATENDER AS NECESSIDADES DA POLÍCIA MILITAR DO ESTADO DO AMAPÁ-PMAP E DO CORPO DE BOMBEIROS MILITAR DO AMAPÁ - CBMAP, COM RECURSOS DO FUNSEP, EIXO ENFRENTAMENTO À CRIMINALIDADE VIOLENTA  REPASSE 2020.","Menor Preco"," ",16782,16782
"2022-06-21 08:54:38",00008/PMAP/2022," ","Concluir com êxito",Concluído,PMAP,"POLÍCIA MILITAR DO ESTADO DO AMAPÁ","AQUISIÇÃO DE RAÇÃO CANINA  PARA ATENDER ÀS DEMANDAS DA POLÍCIA MILITAR DO ESTADO DO AMAPÁ","Menor Preco"," ",41829,40953
"2022-06-20 17:52:20",00006/SEMA/2022," ","Concluir com êxito",Concluído,SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE","AQUISIÇÃO DE MOBILIÁRIOS","Menor Preco"," ",95388,95388
"2022-06-20 16:04:14",00006/SEPM/2022," ","Concluir com êxito",Concluído,SEPM,"SECRETARIA EXTRAORDINÁRIA DE POLÍTICA PARA AS MULHERES","AQUISIÇÃO DE PEÇAS E PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO DE CORRETIVA DE VEICULOS DE PORTE LEVE, PERTENCENTES A FROTA DESTA SECRETARIA DE ESTADPO DE POLITICAS PARA AS MULHERES","Menor Preco"," ",15969.19,15175
"2022-06-20 09:47:24",00019/SEINF/2022," ","Apurar e Emitir Resultado","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA"," CONSTRUÇÃO DE UM NOVO PRÉDIO DESTINADO A ESCOLA ESTADUAL MARIA LUCILA BRAZÃO, LOCALIZADA NA COMUNIDADE DE LAGO NOVO, ZONA RURAL DO MUNICÍPIO DE TARTARUGALZINHO/AP","Menor Preco"," ",0,0
"2022-06-17 15:49:22",00038/PGE/2022," ","Criar Processo","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS NA ÁREA DE TECNOLOGIA DA INFORMAÇÃO (TI), COMPREENDENDO PLANEJAMENTO, IMPLANTAÇÃO E CONFIGURAÇÃO DE EQUIPAMENTOS (UEAP).","Menor Preco"," ",0,0
"2022-06-17 11:20:31",00014/SEJUSP/2022," ","Concluir com êxito",Concluído,SEJUSP,"SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE CONSULTORIA DE PREÇOS PRATICADOS PELA ADMINISTRAÇÃO PÚBLICA, EM AMBIENTE WEB, PARA ATENDER AS NECESSIDADES DA SEJUSP/AP.","Menor Preco"," ",10865,10865
"2022-06-17 11:02:34",00013/SEJUSP/2022," ","Concluir com êxito",Concluído,SEJUSP,"SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA","AQUISIÇÃO DE VEÍCULOS CARACTERIZADOS PARA USO ADMINISTRATIVO E OPERACIONAL VISANDO ATENDER AOS CONVÊNIOS FEDERAIS Nº 853494, 905238, 905240, 918007, COM EXECUÇÃO A SER FEITA PELA SEJUSP/AP.","Menor Preco",108/2022,2757859.42,1268885
"2022-06-17 10:58:43",00026/FUNSEP/2022," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","AQUISIÇÃO DE DOIS VEÍCULOS TIPO VAN MINIBUS POR ADESÃO A ATA DE REGISTRO DE PREÇOS REFERENTE AO PREGÃO ELETRÔNICO Nº 0014/2021  CPL/FEMARH/RR, PROCESSO 16201000646/2021-01-FEMARH, PARA ATENDER OS EVENTOS DA SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA_ SEJUSP, ATRAVÉS DO FUNDO ESTADUAL DA SEGURANÇA PÚBLICA - FUNSEP/AP, PLANO DE AÇÃO DE VALORIZAÇÃO DOS PROFISSIONAIS DE SEGURANÇA PÚBLICA, REPASSE 2019.","Menor Preco"," ",588000,588000
"2022-06-16 15:24:08",00008/UEAP/2022," ","Apurar e Emitir Resultado","Em andamento",UEAP,"UNIVERSIDADE ESTADUAL DO AMAPÁ","Contratação de empresa
especializada na Prestação de Serviços de Limpeza, desinfecção, higienização e
conservação das Instalações físicas, Mobiliário e Jardinagem, com fornecimento de
mão de obra, materiais e equipamentos da Universidade Estadual do Amapá-UEAP e
seus anexos","Menor Preco"," ",3761490,0
"2022-06-15 21:46:38",00007/UEAP/2022," ","Apurar e Emitir Resultado","Em andamento",UEAP,"UNIVERSIDADE ESTADUAL DO AMAPÁ","contratação de empresa que, sob demanda, prestará
serviços de manutenção predial preventiva (no Campus Lagos no municipio do Amapá), com
fornecimento de peças, equipamentos, materiais e mão de obra, com o maior desconto a ser aplicado em
planilhas de serviços e insumos, constantes da TABELA, SINAPI e SBC.","Maior Desconto"," ",0,0
"2022-06-15 09:15:19",00019/SETRAP/2022," ","Apurar e Emitir Resultado","Em andamento",SETRAP,"SECRETARIA DE ESTADO DO TRANSPORTE","OBRA DE RECONSTRUÇÃO DE 09 (NOVE) PONTES EM MADEIRA, MUNICÍPIO DE CALÇOENE","Menor Preco"," ",0,0
"2022-06-14 18:19:02",00002/SECULT/2022," ","Apurar e Emitir Resultado","Em andamento",SECULT,"SECRETARIA DE ESTADO DA CULTURA","Inscrição no curso Planejamento Estratégico de Compras Públicas: Nova Lei de Licitações e Contratos Administrativos Nº 14.133/21 e suas alterações frente a Lei 8.666/93.","Menor Preco"," ",1390,0
"2022-06-13 13:01:14",00012/SEJUSP/2022," ","Concluir com êxito",Concluído,SEJUSP,"SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA","CONTRATAÇÃO DIRETA DE SERVIÇO DE MANUTENÇÃO (REPARO) DO MOTOR ARRIEL 1, DA AERONAVE HELICÓPTERO ESQUILO AS350B2/EUROCOPTER, PREFIXO PR-GAP (GAVIÃO 01), PARA ATENDER DEMANDA DO GTA/SEJUSP/AP","Menor Preco"," ",2291068.39,2291068.39
"2022-06-10 08:52:24",00025/FUNSEP/2022," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","AQUISIÇÃO DE MATERIAIS DE CONSUMO E PERMANENTE (TECNOLOGIA MENOS LETAL) PARA ATENDER AS NECESSIDADES DA PMAP","Menor Preco"," ",1430663.74,1430663.74
"2022-06-09 18:02:52",00037/PGE/2022," ","Concluir com êxito",Concluído,PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAL ERGONÔMICO","Menor Preco",089/2022,3735680,171500
"2022-06-09 18:02:52",00037/PGE/2022," ","Concluir com êxito",Concluído,PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAL ERGONÔMICO","Menor Preco",124/2022,3735680,171500
"2022-06-09 10:39:20",00001/SECULT/2022," ","Autorizar Processo","Em andamento",SECULT,"SECRETARIA DE ESTADO DA CULTURA","Contratação de Empresa Especializada em Locação de Estrutura e Equipamentos, incluindo Montagem e Desmontagem, ADESÃO ATA Nº. 003/2021/SECULT/PA, para atender a SECULT.","Menor Preco"," ",3294000,0
"2022-06-09 08:30:43",00009/SEED/2022," ","Concluir com êxito",Concluído,SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","LOCAÇÃO DE IMÓVEL PARA FUNCIONAMENTO DA ESCOLA ESTADUAL PROFª. MARIA DE NAZARÉ RODRIGUES DA SILVA, LARANJAL DO JARI.","Menor Preco"," ",989307.6,989307.6
"2022-06-08 17:44:34",00018/SETRAP/2022," ","Analisar Processo","Em andamento",SETRAP,"SECRETARIA DE ESTADO DO TRANSPORTE","LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE RECICLAGEM DE PAVIMENTAÇÃO ASFÁLTICA","Menor Preco"," ",0,0
"2022-06-08 08:14:03",00040/SESA/2022," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CREDENCIAMENTO DE PESSOAS JURÍDICAS ESPECIALIZADAS PARA A PRESTAÇÃO DE SERVIÇOS DE HOSPEDAGEM EM HOTEL","Menor Preco"," ",50310,0
"2022-06-07 23:21:39",00017/SETRAP/2022," ","Apurar e Emitir Resultado","Em andamento",SETRAP,"SECRETARIA DE ESTADO DO TRANSPORTE","PAVIMENTAÇÃO ASFÁLTICA NO MUNICÍPIO DE MACAPÁ-AP, AV. ANASTÁCIO GAUDÊNCIO DA SILVA  BAIRRO GOIABAL","Menor Preco"," ",0,0
"2022-06-07 15:01:37",00036/PGE/2022," ","Fazer Licitação","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","CONTRATAÇÃO DE SERVIÇO DE SOLUÇÃO INTEGRADA DE CENTRO DE DESENVOLVIMENTO, MANUTENÇÃO E SUSTENTAÇÃO DE SISTEMA - FÁBRICA DE SOFTWARE","Menor Preco",031/2023,27747365.96,0
"2022-06-07 11:39:28",00002/CREAP/2022," ","Apurar e Emitir Resultado","Em andamento",CREAP,"CENTRO DE REABILITAÇÃO DO AMAPÁ","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE VEÍCULOS TERRESTRES LEVES E PESADOS, FORMA CONTÍNUA, INCLUINDO MANUTENÇÃO MECÂNICA, ELÉTRICA E SUBSTITUIÇÃO DE PNEUS, INCLUSIVE SEGURO, SEM MOTORISTA E SEM COMBUSTÍVEL PARA ATENDER O CREAP.","Menor Preco"," ",247200,0
"2022-06-06 12:03:13",00024/FUNSEP/2022," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","AQUISIÇÃO DE 02 (DOIS) TRAILERS, ADAPTADOS EM UNIDADES ITINERANTES DE ATENDIMENTO MÉDICO-ODONTOLÓGICO, VISANDO A ATENDER AS NECESSIDADES DA SECRETARIA DE ESTADO DA JUSTIÇA E SEGURANÇA PÚBLICA - SEJUSP E DO CORPO DE BOMBEIROS MILITAR DO AMAPÁ  CBMAP, ÓRGÃOS INTEGRANTES DO FUNSEP/AP, PLANO DE AÇÃO DE VALORIZAÇÃO DOS PROFISSIONAIS DE SEGURANÇA PÚBLICA  REPASSES 2019 E 2020.

","Menor Preco",079/2022,2652133.32,800000
"2022-06-06 09:29:11",00016/SETRAP/2022," ","Analisar Processo","Em andamento",SETRAP,"SECRETARIA DE ESTADO DO TRANSPORTE","FORNECIMENTO DE COMBUSTÍVEL DE AVIAÇÃO JET A-1","Menor Preco"," ",0,0
"2022-06-04 20:39:56",00003/FREBOM/2022," ","Concluir com êxito",Concluído,FREBOM,"FUNDO DE REEQUIPAMENTO DO CORPO DE BOMBEIROS","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇO DE MANUTENÇÃO PREDIAL E PEQUENOS REPAROS A SER REALIZADO NO IMÓVEL LOCADO QUE ABRIGA A COORDENADORIA ESTADUAL DE DEFESA CIVIL - CEDEC/AP","Menor Preco"," ",30293.81,24235.04
"2022-06-03 09:30:10",00018/SEINF/2022," ","Concluir com êxito",Concluído,SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","AQUISIÇÃO DE MOBILIÁRIO PARA ESTA SECRETARIA - SEINF","Menor Preco",118/2022,1730480.74,850000
"2022-06-02 14:39:25",00005/FCRIA/2022," ","Concluir com êxito",Concluído,FCRIA,"FUNDAÇÃO DA CRIANÇA E DO ADOLESCENTE","AUXILIAR DE SERVIÇO EDUCACIONAL 12HX36H E LAVADEIRA","Menor Preco"," ",1198878.3,1076784.54
"2022-06-02 12:01:01",00039/SESA/2022," ","Criar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO EMERGENCIAL de empresa para o fornecimento de ÓRTESES,
PRÓTESES E MATERIAIS ESPECIAIS (OPMES), PADRONIZADAS PELA
TABELA SUS","Menor Preco"," ",0,0
"2022-06-02 09:35:19",00001/SETUR/2022," ","Ratificar Pretensão de Contratar","Em andamento",SETUR,"SECRETARIA DE ESTADO DO TURISMO","Confecção de 03 vídeos promocionais de até 60 segundos, incluindo os municípios de Macapá, Calçoene e Oiapoque, que mostrem as belezas naturais e principais pontos turísticos em formato FULL HD 1920 x 1080.  ","Menor Preco"," ",16300,16300
"2022-06-02 09:30:07",00006/IAPEN/2022," ","Analisar Processo","Em andamento",IAPEN,"INSTITUTO DE ADMINISTRAÇÃO PENITENCIÁRIA DO ESTADO","Veículo tipo Pick-Up","Menor Preco"," ",480220,0
"2022-06-02 08:34:45",00035/PGE/2022," ","Emitir Resultado","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAIS MÉDICOS E CIRÚRGICOS- INSUMOS HOSPITALARES GRUPO 2","Menor Preco",082/2023,17779269.36,58494.24
"2022-06-02 08:34:45",00035/PGE/2022," ","Emitir Resultado","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAIS MÉDICOS E CIRÚRGICOS- INSUMOS HOSPITALARES GRUPO 2","Menor Preco",128/2022,17779269.36,58494.24
"2022-06-01 11:34:56",00038/SESA/2022," ","Analisar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","AQUISIÇÃO DE EQUIPAMENTOS E MATERIAIS PERMANENTES PARA O HOSPITAL DA MULHER MÃE LUZIA  HMML UNIDADE SUBORDINADA A SECRETARIA DE ESTADO DA SAÚDE - SESA.","Menor Preco"," ",693021.39,0
"2022-06-01 10:00:08",00037/SESA/2022," ","Analisar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇO DE CONSTRUÇÃO E MANUTENÇÃO DE ESTAÇÃO DE TRATAMENTO DE ÁGUA COMPACTA (ETAC) E (ECTE) ESTAÇÃO COMPACTA DE TRATAMENTO DE ESGOTO","Menor Preco"," ",1198454.2,0
"2022-06-01 10:00:01",00006/UEAP/2022," ","Apurar e Emitir Resultado","Em andamento",UEAP,"UNIVERSIDADE ESTADUAL DO AMAPÁ"," CAPACITAÇÃO E TREINAMENTO DE SERVIDOR","Menor Preco"," ",11560,0
"2022-05-31 14:27:39",00004/SETE/2022," ","Concluir com êxito",Concluído,SETE,"SECRETARIA DE ESTADO DO TRABALHO E EMPREENDEDORISMO","Aquisição de Material Permanente.","Menor Preco",114/2022,885421.52,220523.05
"2022-05-31 10:47:58",00003/CBMAP/2022," ","Concluir com êxito",Concluído,CBMAP,"CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPÁ","AQUISIÇÃO EMERGENCIAL DE MATERIAIS DE CONSUMO E PERMANENTES a serem 
utilizados nas atividades de atendimento Pré-Hospitalar- APH","Menor Preco"," ",232675,209900
"2022-05-31 10:37:03",00017/SEINF/2022," ","Apurar e Emitir Resultado","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","REFORMA E AMPLIAÇÃO DO DECK DO CURIAÚ- LOCALIZADO NA COMUNIDADE DO CURIAÚ NO MUNICIPÍO DE MACAPÁ-AP  ","Menor Preco"," ",0,0
"2022-05-31 10:08:27",00006/SIAC/2022," ","Concluir com êxito",Concluído,SIAC,"SISTEMA INTEGRADO DE ATENDIMENTO AO CIDADÃO ","Aquisição de veículos tipo micro-ônibus adaptado e veículo tipo leve de passeio (hatch), visando atender as necessidades do Sistema Integrado de Atendimento ao Cidadão  SIAC/SuperFácil, conforme condições, especificações e quantitativos constantes neste instrumento.","Menor Preco",092/2022,1704186.64,83628
"2022-05-27 12:56:18",00016/SEINF/2022," ","Apurar e Emitir Resultado","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","CONSTRUÇÃO DE PRÉDIO PÚBLICO PARA ATENDER O MUNICÍPIO DE FERREIRA GOMES  AP","Menor Preco"," ",0,0
"2022-05-27 12:08:39",00005/HEMOAP/2022," ","Concluir com êxito",Concluído,HEMOAP,"INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ","AQUISIÇÃO DE CENTRIFUGA DE FRACIONAMENTO DE SANGUE - CONVÊNIO Nº 886412/2019","Menor Preco"," ",350000,298000
"2022-05-27 10:32:01",00015/SETRAP/2022," ","Apurar e Emitir Resultado","Em andamento",SETRAP,"SECRETARIA DE ESTADO DO TRANSPORTE","CONTRATAÇÃO GERENCIAMENTO AMBIENTAL, ABRANGENDO A SUPERVISÃO AMBIENTAL E O MONITORAMENTO DOS PROGRAMAS AMBIENTAIS DAS OBRAS DE INFRAESTRUTURA RODOVIÁRIA","Menor Preco"," ",0,0
"2022-05-27 10:20:55",00003/SDC/2022," ","Apurar e Emitir Resultado","Em andamento",SDC,"SECRETARIA DE ESTADO DO DESENVOLVIMENTO DAS CIDADES","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM COTAÇÃO DE PREÇOS ONLINE","Menor Preco"," ",9875,0
"2022-05-26 19:42:57",00023/FUNSEP/2022," ","Concluir com êxito",Concluído,FUNSEP,"FUNDO ESTADUAL DE SEGURANÇA PÚBLICA","CONTRATAÇÃO SERVIÇOS, SOB DEMANDA, DE ORGANIZAÇÃO E MONTAGEM DE EVENTOS, AMBIENTAÇÃO, DECORAÇÃO, ILUMINAÇÃO CÊNICA, FORNECIMENTO DE BENS DE CONSUMO E SERVIÇOS DE BUFFET, POR ADESÃO ATA DE REGISTRO DE PREÇOS Nº 007/2022, ORIGINADA DO PREGÃO ELETRÔNICO Nº 003/2022 - DPE (PROC. 300000.090/2022-DPE-AP)","Menor Preco"," ",449500,449500
"2022-05-26 16:19:33",00004/SIMS/2022," ","Concluir com êxito",Concluído,SIMS,"SECRETARIA DE ESTADO DA INCLUSÃO E MOBILIZAÇÃO SOCIAL","CONTRATAÇÃO DE EMPRESA PARA O SERVIÇO DE VALE-TRANSPORTE URBANO E REGIÃO METROPOLITANA DE MACAPA-AP - VISANDO ATENDER DEMANDA DO VALE TRANSPORTE JOVEM.  VTJ","Menor Preco"," ",5943502.4,5943502.4
"2022-05-26 11:49:30",00013/SEAD/2022," ","Concluir com êxito",Concluído,SEAD,"SECRETARIA DO ESTADO DA ADMINISTRAÇÃO","AQUISIÇÃO DE ASSINATURA COM LICENÇA DE USO DE SOFTWARE - BANCO DE PREÇOS","Menor Preco"," ",0,0
"2022-05-26 10:06:28",00008/SEED/2022," ","Analisar Processo","Em andamento",SEED,"SECRETARIA DE ESTADO DA EDUCAÇÃO","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE KITS ESCOLARES PARA ATENDER O ENSINO MÉDIO E EJA (FUNDAMENTAL E MÉDIO) DAS ESCOLAS PÚBLICAS DA REDE ESTADUAL DO MUNICÍPIO DE SANTANA ","Menor Preco"," ",509421.72,0
"2022-05-26 09:38:43",00036/SESA/2022," ","Analisar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA O HOSPITAL DA CRIANÇA E DO ADOLESCENTE, CONTEMPLADO NA PROPOSTA PARLAMENTAR FEDERAL DE Nº 060235820001/21-004, DO DEPUTADO ACÁCIO FAVACHO.","Menor Preco"," ",281993.6,0
"2022-05-25 18:08:36",00035/SESA/2022," ","Analisar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA LOCAÇÃO DO FORNECIMENTO DE LICENÇA DE PERMISSÃO DE USO DE SOFTWARE DE DISTRIBUIÇÃO, GERENCIAMENTO, ARMAZENAMENTO E RECUPERAÇÃO DE IMAGENS MÉDICAS.","Menor Preco"," ",6753600,0
"2022-05-25 12:11:00",00014/SETRAP/2022," ","Apurar e Emitir Resultado","Em andamento",SETRAP,"SECRETARIA DE ESTADO DO TRANSPORTE","SERVIÇOS ESPECIALIZADOS EM TRANSPORTE AQUAVIÁRIOS (CARGA E PASSAGEIROS) DO TIPO TRAVESSIAS CURTAS, NO RIO JARI E NO RIO MATAPÍ","Menor Preco"," ",0,0
"2022-05-25 10:11:30",00006/PRODAP/2022," ","Concluir com êxito",Concluído,PRODAP,"CENTRO DE GESTÃO DE TECNOLOGIA DA INFORMAÇÃO","Serviços de filtragem de conteúdo de E-mail (AntiSpam Corporativo).","Menor Preco",111/2022,403167.84,147000
"2022-05-25 10:11:30",00006/PRODAP/2022," ","Concluir com êxito",Concluído,PRODAP,"CENTRO DE GESTÃO DE TECNOLOGIA DA INFORMAÇÃO","Serviços de filtragem de conteúdo de E-mail (AntiSpam Corporativo).","Menor Preco",123/2022,403167.84,147000
"2022-05-25 08:50:55",00034/SESA/2022," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CREDENCIAMENTO DE PESSOA JURÍDICA PARA INTEGRAR CADASTRO DE PRESTADORES DE SERVIÇOS AO SISTEMA ÚNICO DE SAÚDE (SUS), realizar o credenciamento de empresas especializadas para a realização de exames de diagnóstico por imagem, com fornecimento de exames não ofertados pelas Unidades Hospitalares desta Secretária de Estado da Saúde - SESA em conformidade com o Art. 25 da lei 8.666/93 afim de se atender a demanda, de forma contínua e seguindo as condições e especificações constantes neste documento.","Menor Preco"," ",0,0
"2022-05-24 10:30:28",00003/SIMS/2022," ","Concluir com êxito",Concluído,SIMS,"SECRETARIA DE ESTADO DA INCLUSÃO E MOBILIZAÇÃO SOCIAL","CONTRATAÇÃO DE PESSOA FÍSICA PARA A PRESTAÇÃO DE SERVIÇOS DE DIVULGAÇÃO DE CARRO DE SOM (VOLANTE), A FIM DE PROMOVER AS
AÇÕES/ATIVIDADES NO QUE SE REFERE AO ENFRENTAMENTO E A ERRADICAÇÃO DO TRABALHO INFANTIL NO ESTADO DO AMAPÁ.","Menor Preco"," ",886.65,600
"2022-05-23 17:24:09",00012/SEAD/2022," ","Analisar Processo","Em andamento",SEAD,"SECRETARIA DO ESTADO DA ADMINISTRAÇÃO","ANUIDADE DO CONSELHO NACIONAL DE SECRETÁRIOS DA ADMINISTRAÇÃO, EXERCÍCIO 2022
","Menor Preco"," ",0,0
"2022-05-23 16:33:38",00033/SESA/2022," ","Analisar Processo","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE DESTINADOS A UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE PARA O HOSPITAL DE CLÍNICAS DOUTOR ALBERTO LIMA","Menor Preco"," ",2689242.49,0
"2022-05-23 11:36:48",00004/SEMA/2022," ","Concluir com êxito",Concluído,SEMA,"SECRETARIA DE ESTADO DO MEIO AMBIENTE"," Aquisição de Gás de Cozinha 13 kg","Menor Preco"," ",3090,3090
"2022-05-23 11:22:26",00032/SESA/2022," ","Apurar e Emitir Resultado","Em andamento",SESA,"SECRETARIA DE ESTADO DA SAÚDE","CONTRATAÇÃO EMERGENCIAL DE SERVICO DE CASA DE APOIO EM BELEM-PA - PTFD","Menor Preco"," ",0,0
"2022-05-20 16:16:06",00033/PGE/2022," ","Fazer Licitação","Em andamento",PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MEDICAMENTOS QUE ATUAM NO SISTEMA NERVOSO","Menor Preco",027/2023,30591312.76,0
"2022-05-18 11:31:15",00004/HEMOAP/2022," ","Concluir com êxito",Concluído,HEMOAP,"INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ","AQUISIÇÃO DE REVESTIMENTO REPARTIDO E SUPORTES PARA BOLSAS DE SANGUE PARA CENTRIFUGA MARCA JOUAN, MODELO KR422, PARA O SETOR DE FRACIONAMENTO DO INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA DO AMAPÁ - HEMOAP","Menor Preco"," ",15467.1,15467.1
"2022-05-18 10:30:57",00032/PGE/2022," ","Concluir com êxito",Concluído,PGE,"PROCURADORIA-GERAL DO ESTADO","AQUISIÇÃO DE MATERIAL PERMANENTE (LIVRO), VISANDO COMPLEMENTAR O ACERVO BIBLIOGRÁFICO DA PROCURADORIA GERAL DO ESTADO DO AMAPÁ.","Menor Preco"," ",13248,13248
"2022-05-17 10:42:43",00015/SEINF/2022," ","Apurar e Emitir Resultado","Em andamento",SEINF,"SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA OBRA DE CONSTRUÇÃO DO SISTEMA DE ABASTECIMENTO DE ÁGUA DO COMPLEXO BOMBEIRO ZONA NORTE NO MUNICÍPIO DE MACAPÁ/AP,","Menor Preco"," ",0,0
