2022;SECRETARIA DE DESENVOLVIMENTO SOCIAL; CRIANçA E JUVENTUDE DE PERNAMBUCO;TC003/2022;2.099 SERVIÇO;;EM EXECUçãO;;10333399000186 - INSTITUTO ENSINAR DE DESENVOLVIMENTO SOCIAL-IEDES;2022/09/14 00:00:00.000;2023/03/13 00:00:00.000; 5129359.25;
2020;DISTRITO ESTADUAL DE FERNANDO DE NORONHA;014/2020;2.099 SERVIÇO;;EM EXECUçãO;53/2020;42194191000110 - NUTRICASH SERVICOS LTDA;2020/04/20 00:00:00.000;2020/07/19 00:00:00.000; 540000.0;http://web.transparencia.pe.gov.br/contratos/859/LICON_Termo_Aditivo_859_2020_014_951474.pdf ;
2020;DISTRITO ESTADUAL DE FERNANDO DE NORONHA;017/2020;2.099 SERVIÇO;;EM EXECUçãO;60/2020;7882356000145 - EASY TÁXI AÉREO LTDA;2020/05/01 00:00:00.000;2020/05/31 00:00:00.000; 185922.0;http://web.transparencia.pe.gov.br/contratos/859/LICON_Termo_Aditivo_859_2020_017_952465.pdf ;
2020;DISTRITO ESTADUAL DE FERNANDO DE NORONHA;022/2020;2.099 SERVIÇO;;EM EXECUçãO;71/2020;7797967000195 - NP CAPACITAÇÃO E SOLUÇÕES TECNOLÓGICAS LTDA;2020/06/29 00:00:00.000;2021/06/28 00:00:00.000; 8975.0;http://web.transparencia.pe.gov.br/contratos/859/LICON_Contrato_859_2020_022_941291.pdf;
2020;DISTRITO ESTADUAL DE FERNANDO DE NORONHA;027/2020;2.099 SERVIÇO;;EM EXECUçãO;91/2020;7400355000117 - SANITRAT PROTEÇÃO AMBIENTAL  LTDA-EPP;2020/09/01 00:00:00.000;2021/03/01 00:00:00.000; 141120.0;http://web.transparencia.pe.gov.br/contratos/859/LICON_Contrato_859_2020_027_941271.pdf;
2020;DISTRITO ESTADUAL DE FERNANDO DE NORONHA;028/2020;2.099 SERVIÇO;;EM EXECUçãO;87/2020;10798130000175 - EDITORA JORNAL DO COMMERCIO LTDA;2020/09/23 00:00:00.000;2021/09/22 00:00:00.000; 1293.0;http://web.transparencia.pe.gov.br/contratos/859/LICON_Contrato_859_2020_028_941225.pdf;
2020;EMPRESA PERNAMBUCANA DE TRANSPORTE INTERMUNICIPAL;001/2020;2.099 SERVIÇO;;EM EXECUçãO;nov/19;92559830000171 - GREEN CARD S/A REFEICOES COMERCIO E SERVICOS;2019/12/19 00:00:00.000;2020/12/17 00:00:00.000; 105600.0;http://web.transparencia.pe.gov.br/contratos/1313/LICON_Contrato_1313_2020_001_904043.pdf;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;002s/2020;2.099 SERVIÇO;;EM EXECUçãO;;5423963000111 - OI MOVEL S/A - EM RECUPERACAO JUDICIAL;2020/06/16 00:00:00.000;2024/04/30 00:00:00.000; 28332.86;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2020_002s_996377.pdf ;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;003AD/2020;2.099 SERVIÇO;;EM EXECUçãO;;27284516000161 - MAXIFROTA SERVIÇOS DE MANUTENÇÃO DE FROTA LTDA.;2020/09/22 00:00:00.000;2021/09/21 00:00:00.000; 80990.47;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Termo_Aditivo_1045_2020_003AD_1013081.pdf ;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;014/2020;2.099 SERVIÇO;;EM EXECUçãO;478/2019;11186327000116 - METALTEC M OLIVEIRA COMERCIO LTDA;2020/07/21 00:00:00.000;2021/07/21 00:00:00.000; 6226.0;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2020_014_967696.pdf;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;015/2020;2.099 SERVIÇO;;EM EXECUçãO;478/2019;34333903000106 - FL COMERCIO ATACADISTA DE ARTIGOS DE USO PESSOAL E DOMESTICO EIRELI;2020/07/22 00:00:00.000;2021/07/22 00:00:00.000; 14097.6;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2020_015_967388.pdf;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;016/2020;2.099 SERVIÇO;;EM EXECUçãO;478/2019;71950638000131 - PANTHER PRODUTOS DE PRESERVAÇÃO AMBIENTAL;2020/07/22 00:00:00.000;2021/07/22 00:00:00.000; 30712.0;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2020_016_967380.pdf;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;017/2020;2.099 SERVIÇO;;EM EXECUçãO;478/2019;10826802000109 - MARF MATERIAIS PARA CONSTRUÇÃO LTDA - ME;2020/07/22 00:00:00.000;2021/07/22 00:00:00.000; 11550.0;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2020_017_967683.pdf;
2020;EMPRESA DE TURISMO DE PERNAMBUCO S/A;166/2020;2.099 SERVIÇO;;EM EXECUçãO;444/2019;10921252000298 - COMPANHIA EDITORA DE PERNAMBUCO - CEPE;2020/03/03 00:00:00.000;2021/03/03 00:00:00.000; 494939.39;http://web.transparencia.pe.gov.br/contratos/1045/LICON_Contrato_1045_2020_166_928081.pdf ;
2020;FUNDO ESTADUAL DE ASSISTêNCIA SOCIAL;EMG007/2020;2.099 SERVIÇO;;EM EXECUçãO;;26889181000142 - SD DE A FERREIRA E CIA LTDA;2020/07/08 00:00:00.000;2020/12/07 00:00:00.000; 4500.0;http://web.transparencia.pe.gov.br/contratos/968/LICON_Contrato_968_2020_EMG007_961061.pdf;
2020;FUNDO ESTADUAL DE ASSISTêNCIA SOCIAL;EMG009/2020;2.099 SERVIÇO;;EM EXECUçãO;;70066840000132 - VALOR SUPRIMENTOS - COMERCIO DE MATERIAL DE CONSUMO EIRELI;2020/06/08 00:00:00.000;2020/12/07 00:00:00.000; 32054.4;http://web.transparencia.pe.gov.br/contratos/968/LICON_Termo_Aditivo_968_2020_EMG009_961039.pdf ;
2020;FUNDO ESTADUAL DE ASSISTêNCIA SOCIAL;EMG010/2020;2.099 SERVIÇO;;EM EXECUçãO;;20654089000117 - CICERO DURVAL COSTA DA SILVA EIRELI ME;2020/06/08 00:00:00.000;2020/12/07 00:00:00.000; 12180.0;http://web.transparencia.pe.gov.br/contratos/968/LICON_Contrato_968_2020_EMG010_961010.pdf;
2020;GABINETE DE PROJETOS ESTRATéGICOS;fev/20;2.099 SERVIÇO;;EM EXECUçãO;set/19;2662464000199 - LUCENA TOPOGRAFIA E CONSTRUÇÃO LTDA - EPP;2020/02/04 00:00:00.000;2021/02/03 00:00:00.000; 154824.46;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Termo_Aditivo_1611_2020_02_929942.pdf ;
2020;GABINETE DE PROJETOS ESTRATéGICOS;02covid/2020;2.099 SERVIÇO;;EM EXECUçãO;mai/20;11534008000154 - DELTA CONTAINERS LTDA;2020/04/29 00:00:00.000;2021/04/28 00:00:00.000; 183900.0;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Contrato_1611_2020_02covid_893311.pdf;
2020;GABINETE DE PROJETOS ESTRATéGICOS;mar/20;2.099 SERVIÇO;;EM EXECUçãO;set/20;15023850000182 - AGEMAR LOCACAO E COMERCIALIZACAO DE CONTEINERES LT;2020/05/11 00:00:00.000;2020/08/10 00:00:00.000; 22910.0;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Contrato_1611_2020_03_896598.pdf ;
2020;GABINETE DE PROJETOS ESTRATéGICOS;03covid/2020;2.099 SERVIÇO;;EM EXECUçãO;jul/20;11295284000107 - INDUSTRIA E COM. DE MOVEIS KUTZ LTDA;2020/05/04 00:00:00.000;2020/05/13 00:00:00.000; 93120.0;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Contrato_1611_2020_03covid_896062.pdf ;
2020;GABINETE DE PROJETOS ESTRATéGICOS;abr/20;2.099 SERVIÇO;;EM EXECUçãO;nov/20;2527674000174 - PIRAJU LOCACAO DE EQUIPAMENTOS E CONSTRUCOES LTDA - EPP;2020/05/11 00:00:00.000;2020/08/10 00:00:00.000; 17550.0;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Termo_Aditivo_1611_2020_04_908682.pdf ;
2020;GABINETE DE PROJETOS ESTRATéGICOS;04covid/2020;2.099 SERVIÇO;;EM EXECUçãO;ago/20;59358770000153 - TRANS NEW TRANSPORTADORA LTDA;2020/05/05 00:00:00.000;2020/05/09 00:00:00.000; 82390.0;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Contrato_1611_2020_04covid_896032.pdf;
2020;GABINETE DE PROJETOS ESTRATéGICOS;09covid/2020;2.099 SERVIÇO;;EM EXECUçãO;dez/20;16731874000159 - POWER SERVIÇO DE A. MONTAGENS E J. LTDA;2020/06/02 00:00:00.000;2020/06/06 00:00:00.000; 25180.0;http://web.transparencia.pe.gov.br/contratos/1611/LICON_Contrato_1611_2020_09covid_898336.pdf;
2020;HOSPITAL BARãO DE LUCENA;018/2020;2.099 SERVIÇO;;EM EXECUçãO;796/2019;4292445000224 - CR OXIGENIO GASES E EQUIPAMENTOS LTDA;2020/11/07 00:00:00.000;2021/11/06 00:00:00.000; 54000.0;http://web.transparencia.pe.gov.br/contratos/1138/LICON_Contrato_1138_2020_018_964065.pdf;
2020;HOSPITAL GETúLIO VARGAS;0005/2020;2.099 SERVIÇO;;EM EXECUçãO;1590/2019;18595042000188 - AGUA FORTE POTAVEL LTDA;2020/08/01 00:00:00.000;2021/07/31 00:00:00.000; 182395.2;http://web.transparencia.pe.gov.br/contratos/1139/LICON_Contrato_1139_2020_0005_968665.pdf ;
2020;HOSPITAL GETúLIO VARGAS;0012/2020;2.099 SERVIÇO;;EM EXECUçãO;319/2020;19499550000125 - RA CLIMATIZACAO E SERVICOS LTDA;2020/10/29 00:00:00.000;2021/10/28 00:00:00.000; 159999.95;http://web.transparencia.pe.gov.br/contratos/1139/LICON_Contrato_1139_2020_0012_945506.pdf;
2020;HOSPITAL GETúLIO VARGAS;005/2020;2.099 SERVIÇO;;EM EXECUçãO;1758/2019;25108694000106 - AHREOS REFRIGERAÇÃO LTDA ME;2020/08/01 00:00:00.000;2021/07/31 00:00:00.000; 278499.96;http://web.transparencia.pe.gov.br/contratos/1139/LICON_Contrato_1139_2020_005_945468.pdf;
2020;HOSPITAL GETúLIO VARGAS;015/2020;2.099 SERVIÇO;;EM EXECUçãO;695/2020;14883237000172 - INSTRUMENTEC COMERCIO E SERVIÇOS;2021/03/15 00:00:00.000;2022/03/14 00:00:00.000; 62999.99;http://web.transparencia.pe.gov.br/contratos/1139/LICON_Contrato_1139_2020_015_969525.pdf;
2020;HOSPITAL OTáVIO DE FREITAS;mar/20;2.099 SERVIÇO;;EM EXECUçãO;113/2019;24380578002041 - WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA;2020/05/12 00:00:00.000;2021/05/11 00:00:00.000; 5149008.0;http://web.transparencia.pe.gov.br/contratos/1141/LICON_Contrato_1141_2020_03_1082820.pdf ;
2020;HOSPITAL REGIONAL DO AGRESTE DR. WALDEMIRO FERREIRA;001/2020;2.099 SERVIÇO;;EM EXECUçãO;mar/19;6555589000170 - ENGEBIO SERVIÇOS TÉCNICOS DE ENGENHARIA LTDA - SOCIEDADE SIMPLES - EPP;2020/04/01 00:00:00.000;2021/03/30 00:00:00.000; 500378.64;http://web.transparencia.pe.gov.br/contratos/1142/LICON_Contrato_1142_2020_001_894974.pdf;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;002/2020;2.099 SERVIÇO;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A;2020/07/16 00:00:00.000;2024/04/30 00:00:00.000; 39834.48;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_002_1019664.pdf;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;003/2020;2.099 SERVIÇO;;EM EXECUçãO;;27284516000161 - MAXIFROTA SERVIÇOS DE MANUTENÇÃO DE FROTA LTDA;2020/09/22 00:00:00.000;2021/09/21 00:00:00.000; 51160.44;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_003_1018854.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;004/2020;2.099 SERVIÇO;;EM EXECUçãO;;33000118000179 - TELEMAR NORTE LESTE S/A;2020/11/01 00:00:00.000;2021/07/27 00:00:00.000; 39834.48;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_004_1019670.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;117/2020;2.099 SERVIÇO;;EM EXECUçãO;784/2019;13498023000110 - CONSTRUTORA FS EIRELI-EPP;2020/03/24 00:00:00.000;2020/09/23 00:00:00.000; 458198.03;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_117_1023218.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;118/2020;2.099 SERVIÇO;;EM EXECUçãO;mar/20;7581569000137 - E.C. DE LIMA FILHO ME;2020/03/25 00:00:00.000;2021/03/24 00:00:00.000; 58800.0;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_118_904626.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;120/2020;2.099 SERVIÇO;;EM EXECUçãO;;14056350000184 - SOLSERV SERVIÇOS EIRELI ME;2020/03/26 00:00:00.000;2021/03/25 00:00:00.000; 1567709.16;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_120_1039621.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;128/2020;2.099 SERVIÇO;;EM EXECUçãO;845/2019;405867000127 - ECS EMPRESA DE COMUNICACAO E SEGURANCA LTDA - EPP;2020/04/01 00:00:00.000;2021/03/31 00:00:00.000; 28560.0;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_128_1045618.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;143/2020;2.099 SERVIÇO;;EM EXECUçãO;756/2019;8890798000104 - HORIZONTE IND E COM DE APAR MEDICO HOSPITALAR LTDA-EPP;2020/03/24 00:00:00.000;2020/05/22 00:00:00.000; 56200.0;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_143_921326.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;149/2020;2.099 SERVIÇO;;EM EXECUçãO;abr/20;13044354000180 - EMERSON ALEXANDRE C. DA SILVA;2020/03/24 00:00:00.000;2021/03/18 00:00:00.000; 261491.66;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_149_944022.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;183/2020;2.099 SERVIÇO;;EM EXECUçãO;;24320865000101 - TMA PIMENTEL SERVIÇOS COMBINADOS E APOIO ADMINISTRATIVO EIRELI;2020/06/01 00:00:00.000;2021/05/31 00:00:00.000; 537832.97;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_183_1019234.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;187/2020;2.099 SERVIÇO;;EM EXECUçãO;611/2019;10734681000175 - SUPPORTCARE TECNOLOGIA HOSPITALAR LTDA.;2020/06/23 00:00:00.000;2021/06/22 00:00:00.000; 39000.0;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_187_925099.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;19/2020;2.099 SERVIÇO;;EM EXECUçãO;;10362933000182 - CPTEC SOLUÇÕES EM TECNOLOGIA DA INFORMÁTICA;2019/10/29 00:00:00.000;2022/10/28 00:00:00.000; 14995.0;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_19_1013391.pdf;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;215/2020;2.099 SERVIÇO;;EM EXECUçãO;117/2020;24380578002041 - WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA;2020/05/20 00:00:00.000;2021/05/19 00:00:00.000; 990394.92;http://web.transparencia.pe.gov.br/contratos/843/LICON_Termo_Aditivo_843_2020_215_1014882.pdf ;
2020;HOSPITAL UNIVERSITáRIO OSWALDO CRUZ;216/2020;2.099 SERVIÇO;;EM EXECUçãO;498/2020;28637117000108 - INOWA SOLUCOES EM FORNECIMENTO DE ALIMENTOS PREPARADOS EIRELI;2020/10/01 00:00:00.000;2021/03/28 00:00:00.000; 1734950.25;http://web.transparencia.pe.gov.br/contratos/843/LICON_Contrato_843_2020_216_950891.pdf;
2020;HOSPITAL DA RESTAURAçãO;025/2020;2.099 SERVIÇO;;EM EXECUçãO;2032/2020;25108694000106 - AHREOS REFRIGERAÇÃO LTDA-ME;2020/12/14 00:00:00.000;2021/03/13 00:00:00.000; 126900.0;http://web.transparencia.pe.gov.br/contratos/1144/LICON_Contrato_1144_2020_025_937127.pdf;
2020;INSTITUTO AGRONôMICO DE PERNAMBUCO;jan/20;2.099 SERVIÇO;;EM EXECUçãO;jul/19;2951247000119 - POOL RECIFE EMPREENDIMENTOS E SERVIÇOS - EIRELI;2020/01/02 00:00:00.000;2021/01/01 00:00:00.000; 3749915.52;http://web.transparencia.pe.gov.br/contratos/816/LICON_Termo_Aditivo_816_2020_1_1017251.pdf ;
2020;INSTITUTO DE CIêNCIAS BIOLóGICAS;fev/20;2.099 SERVIÇO;;EM EXECUçãO;;126621000116 - TRANS SERVI TRANSPORTES E SERVIÇOS;2020/06/01 00:00:00.000;2021/05/31 00:00:00.000; 5000.0;http://web.transparencia.pe.gov.br/contratos/844/LICON_Contrato_844_2020_2_961041.pdf;
2020;INSTITUTO DE CIêNCIAS BIOLóGICAS;mar/20;2.099 SERVIÇO;;EM EXECUçãO;;10875828000147 - MARCIO DO NASCIMENTO SILVA ME;2020/06/15 00:00:00.000;2021/06/14 00:00:00.000; 7600.0;http://web.transparencia.pe.gov.br/contratos/844/LICON_Contrato_844_2020_3_960060.pdf;
2020;INSTITUTO DE CIêNCIAS BIOLóGICAS;abr/20;2.099 SERVIÇO;;EM EXECUçãO;;797201000161 - SEG ELETRONIC SISTEMA DE SEGURANCA LTDA - EPP;2020/07/01 00:00:00.000;2021/06/30 00:00:00.000; 8244.0;http://web.transparencia.pe.gov.br/contratos/844/LICON_Termo_Aditivo_844_2020_4_1061784.pdf ;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;001/2020;2.099 SERVIÇO;;EM EXECUçãO;;10918347000171 - DIAGRAMA TECNOLOGIA LTDA?EPP;2020/02/07 00:00:00.000;2021/02/05 00:00:00.000; 68650.4;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_001_890739.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;003/2020;2.099 SERVIÇO;;EM EXECUçãO;;6040449000321 - DUARTE MAGNO DISTRIBUIDORA LTDA - EPP;2020/01/31 00:00:00.000;2021/01/30 00:00:00.000; 60000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_003_894793.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;004/2020;2.099 SERVIÇO;;EM EXECUçãO;;11521101000124 - CENTRO DE ENDOSCOPIA DIGESTIVA DO RECIFE LTDA;2020/02/03 00:00:00.000;2021/02/02 00:00:00.000; 360000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_004_894803.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;005/2020;2.099 SERVIÇO;;FIM DE VIGêNCIA;;32040335000120 - JL COMERCIO DE SISTEMA DE PREVENCAO CONTRA INCENDIO EIRELI;2020/04/06 00:00:00.000;2020/08/06 00:00:00.000; 10056.5;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_005_890843.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;006/2020;2.099 SERVIÇO;;EM EXECUçãO;;28198456000127 - RENOVATION SERVICOS E MANUTENCAO PREDIAL LTDA;2020/03/18 00:00:00.000;2020/10/18 00:00:00.000; 165462.91;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_006_897120.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;007/2020;2.099 SERVIÇO;;EM EXECUçãO;;3756399000123 - FACEIMAGEM LTDA;2020/03/02 00:00:00.000;2021/03/01 00:00:00.000; 240000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Termo_Aditivo_864_2020_007_928008.pdf ;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;008/2020;2.099 SERVIÇO;;EM EXECUçãO;;28312026000194 - ORTHONEURO FISIOTERAPIA E REABILITACAO LTDA;2020/04/01 00:00:00.000;2021/03/29 00:00:00.000; 264000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_008_894353.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;jan/20;2.099 SERVIÇO;;EM EXECUçãO;;11653458000166 - CENOR CENTRO DE OLHOS DO RECIFE LTDA;2020/01/31 00:00:00.000;2021/01/30 00:00:00.000; 336000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_01_894692.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;010/2020;2.099 SERVIÇO;;EM EXECUçãO;;33413597000155 - INSTITUTO DE SAÚDE DO RECIFE EIRELI ME;2020/04/01 00:00:00.000;2021/03/31 00:00:00.000; 120000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_010_894855.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;fev/20;2.099 SERVIÇO;;EM EXECUçãO;;26039265000197 - IMAG DIAGNOSTICO POR IMAGEM LTDA;2020/01/31 00:00:00.000;2021/01/30 00:00:00.000; 180000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_02_894693.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;025/2020;2.099 SERVIÇO;;EM EXECUçãO;;5215437000166 - MERCONSUMO LTDA;2020/05/25 00:00:00.000;2021/05/23 00:00:00.000; 437000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_025_894339.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;028/2020;2.099 SERVIÇO;;EM EXECUçãO;;28739553000180 - METAS SERVIÇOS HOSPITALARES E CONSULTORIA EM SAÚDE EIRELI;2019/12/01 00:00:00.000;2020/11/30 00:00:00.000; 13200000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_028_894188.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;030/2020;2.099 SERVIÇO;;EM EXECUçãO;;175233000125 - TRÊS LEÕES MATERIAL HOSPITALAR LTDA;2020/05/28 00:00:00.000;2021/05/26 00:00:00.000; 428946.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_030_894341.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;035/2020;2.099 SERVIÇO;;EM EXECUçãO;;28911309000152 - ESPIRITO SANTO DISTRIBUIDORA DE PRODUTOS HOSPITALARES EIRELI;2020/06/18 00:00:00.000;2020/09/18 00:00:00.000; 11820.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_035_895750.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;036/2020;2.099 SERVIÇO;;EM EXECUçãO;;9607807000161 - INJEFARMA CAVALCANTI E SILVA DISTRIBUIDORA LTDA;2020/06/18 00:00:00.000;2020/09/15 00:00:00.000; 34075.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_036_895754.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;037/2020;2.099 SERVIÇO;;EM EXECUçãO;;92219233472 - CIRURGICA MONTEBELLO LTDA;2020/06/18 00:00:00.000;2020/09/15 00:00:00.000; 587.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_037_895756.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;038/2020;2.099 SERVIÇO;;EM EXECUçãO;;44734671000151 - CRISTALIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA;2020/06/18 00:00:00.000;2020/09/15 00:00:00.000; 24390.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_038_895759.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;039/2020;2.099 SERVIÇO;;EM EXECUçãO;;7484373000124 - UNI HOSPITALAR LTDA;2020/06/08 00:00:00.000;2020/09/06 00:00:00.000; 30423.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_039_894319.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;040/2020;2.099 SERVIÇO;;EM EXECUçãO;;19802583000100 - JAIRO FERREIRA DO NASCIMENTO FILHO EIRELI ME;2020/06/08 00:00:00.000;2020/09/07 00:00:00.000; 127169.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_040_894263.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;041/2020;2.099 SERVIÇO;;EM EXECUçãO;;7199135000177 - HOSPSETE DISTRIBUIDORA DE MATERIAIS MÉDICOS HOSPITALARES LTDA;2020/06/09 00:00:00.000;2020/09/08 00:00:00.000; 92000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_041_894649.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;042/2020;2.099 SERVIÇO;;EM EXECUçãO;;10779833000156 - MEDICAL MERCANTIL APARELHAGEM MÉDICA LTDA;2020/06/09 00:00:00.000;2020/09/07 00:00:00.000; 17750.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_042_894669.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;043/2020;2.099 SERVIÇO;;EM EXECUçãO;;26185580000122 - VAD MEDICAL COMERCIO LTDA;2020/06/09 00:00:00.000;2020/09/07 00:00:00.000; 3750.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_043_894674.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;044/2020;2.099 SERVIÇO;;EM EXECUçãO;;15227236000132 - ATOS MEDICA COMERCIO E REPRESENTACAO DE PRODUTOS MEDICOS HOSPITALARES LTDA;2020/06/09 00:00:00.000;2020/09/09 00:00:00.000; 39650.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_044_894248.pdf;
2020;INSTITUTO DE RECURSOS HUMANOS DO ESTADO DE PERNAMBUCO;045/2020;2.099 SERVIÇO;;EM EXECUçãO;;28604035000159 - VINICIUS NONATO DA SILVA 08660237471;2020/06/09 00:00:00.000;2020/09/08 00:00:00.000; 185000.0;http://web.transparencia.pe.gov.br/contratos/864/LICON_Contrato_864_2020_045_895622.pdf;
