"Numero do Processo de Compra";"Procedimento de Contratacao";Objeto;"Situacao do Processo";"Ogao Demandante";"Valor de Referencia";"Valor Homologado";Economias
"0513007 000496/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de medicamentos, demanda extra para dezembro de 2019. SEI:2270.01.0053945/2019-68";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";380,00;380,00;0,00
"1031018 000960/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aspirador de pó tipo doméstico para manutenção dos serviços de conservação de material  bibliográfico componentes do acervo da COBIB realizados no Laboratório de Conservação e Restauração da COBIB.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";250,00;250,00;0,00
"1261035 000018/2019";"DISPENSA DE LICITACAO";CAFE;Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";2.592,00;2.592,00;0,00
"1254266 000065/2019";"RECADASTRAMENTO DE PROCESSOS";"Serviços de manutenção de aeronaves modelo King Air operadas pela PMMG.";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";332.368,13;332.368,13;0,00
"1031018 000867/2019";PREGAO;"Contratação de empresa especializada para a prestação de serviço telefônico fixo comutado, STFC, na modalidade de Longa Distância Nacional (LDN), para tráfego de voz .";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";280.435,20;171.801,60;108.633,60
"1031018 000900/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de 50 caixas de grampo para capotaria.";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";1.028,50;743,44;285,06
"1254266 000065/2019";"RECADASTRAMENTO DE PROCESSOS";"Serviços de manutenção de aeronaves modelo King Air operadas pela PMMG.";Concluído;"PROCURADORIA GERAL DE JUSTICA";332.368,13;332.368,13;0,00
"0516013 000476/2019";PREGAO;COLPOSCÓPIO;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";35.754,00;30.000,00;5.754,00
"1441003 000173/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de Gravador Elétrico para metais, madeiras, vidros e plásticos rígidos, em conformidade com as especificações e condições descritas no Termo de Referência.";Concluído;"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";725,20;0,00;725,20
"1051005 000020/2019";"RECADASTRAMENTO DE PROCESSOS";"Serviços de informática - Certificação Digital";Concluído;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE M.G.";14.917,00;14.917,00;0,00
"2311021 000085/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS ELETRICOS E LAMPADAS COMUNS E ESPECIAIS PARA ATENDER DEMANDA DA UNIMONTES - REEGISTRO DE PREÇOS DE REGISTRO DE PREÇOS PLAN 242/2019 - ATA 280/2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";70.759,28;70.299,03;460,25
"1441003 000155/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de água mineral, sem gás, em conformidade com as especificações e condições comerciais contidas no Termo de Referência.";Concluído;"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";2.553,05;2.300,00;253,05
"1321075 000124/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Processo SEI 1320.01.0151659/2019-66
ATA de registro de preços 288/2019Recurso Federal
Recurso Estadual";Concluído;"SECRETARIA DE ESTADO DA SAUDE";2.787.650,90;2.787.650,90;0,00
"1259966 000106/2019";"DISPENSA DE LICITACAO - POR VALOR";"Roupeiro para vestiário; Chapa 24; 08 portas; Cor cinza; demais especificações na descrição de item; compras2rpm@pmmg.mg.gov.br / compras2rpm@gmail.com (31) 2191-6106 / 2191-6138.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.698,00;0,00;1.698,00
"2151004 000067/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Contratação de Serviço de CFTV.";Concluído;"FUNDACAO HELENA ANTIPOFF";665.340,00;506.896,00;158.444,00
"1051005 000017/2019";"RECADASTRAMENTO DE PROCESSOS";"Contratação de agente de integração para operacionalizar o programa de estágio";Concluído;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE M.G.";173.978,62;173.978,62;0,00
"2301403 000055/2019";"DISPENSA DE LICITACAO - POR VALOR";"Material para EAD";Concluído;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM";13.395,13;10.763,00;2.632,13
"1451044 000363/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAIS DE ATENDIMENTO PRÉ HOSPITALAR - APH";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";10.003,00;10.003,00;0,00
"0517048 000156/2019";"DISPENSA DE LICITACAO - POR VALOR";"Exame de Holter 24 Horas.
Moradora A.M.O do MIII.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";0,00;0,00;0,00
"0522008 000127/2019";PREGAO;"Gás Liquefeito de Petróleo (GLP).";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";41.832,00;0,00;41.832,00
"1091002 000229/2019";INEXIGIBILIDADE;"Participação de dois treinamentos na área de segurança da informação em São Paulo/SP, durante a 16ª Edição da Hackers to Hackers Conference de 24 a 29/10/2019.";Concluído;"PROCURADORIA GERAL DE JUSTICA";3.600,00;3.600,00;0,00
"1321129 000209/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"OFEV 150MG - ATA 50/2019 -                                                                              PROCESSO SEI Nº 1320.01.0126166/2019-65";Concluído;"SECRETARIA DE ESTADO DA SAUDE";9.314.460,00;9.314.460,00;0,00
"1691001 000055/2019";"DISPENSA DE LICITACAO";"Preparação, produção e fornecimento contínuos de refeições e lanches, na forma transportada, às Unidades Socioeducativas (US): Centro Socioeducativo Andradas e CIA BH";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";0,00;0,00;0,00
"1261031 000013/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Papel A4 para a EE Padre José Antônio Panucci para atender EMTI";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";202,80;202,80;0,00
"1261016 000015/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"36 (trinta e seis pacotes)de folha A4 com 500 fls para atender por 5 (cinco) meses aos alunos do Ensino Médio em Tempo Integral (EMTI) da EE Professora
Maria de Barros. Recurso oriundo FNDE emti.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";608,40;608,40;0,00
"0500005 000090/2019";PREGAO;"REFEIÇÕES PARA O HOSPITAL JÚLIA KUBITSCHEK";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.833.346,12;5.542.350,87;1.290.995,25
"2261032 000417/2019";PREGAO;"AQUISIÇÃO DE SUPRIMENTOS ODONTOLÓGICOS.";Concluído;"FUNDACAO EZEQUIEL DIAS";5.113,10;1.881,08;3.232,02
"1321029 000027/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE GAS GLP/GAS DE COZINHA, EM APRESENTAÇÃO DE BOTIJAO DE 13KG.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.404,00;0,00;1.404,00
"1321029 000028/2019";"DISPENSA DE LICITACAO - POR VALOR";"GAS GLP 13KG.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";1.404,00;0,00;1.404,00
"1255302 000287/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO-HOSPITALAR PARA ATENDER DEMANDA DE SAÚDE DOS USUÁRIOS DO SISAU, POR MEIO DE RP's ADERIDOS.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";91.001,68;91.001,68;0,00
"1257654 000051/2019";"DISPENSA DE LICITACAO - POR VALOR";"AQUISIÇÃO DE SPLIT E MATERIAIS DE CONSUMO PARA AS UNIDADES APOIADAS PELO EM/11ªRPM. MONTES CLAROS MG";Concluído;"POLICIA MILITAR DE MINAS GERAIS";7.778,45;6.581,00;1.197,45
"1501122 000074/2019";"DISPENSA DE LICITACAO";"Serviço de Integração à Rede Governo";Concluído;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";506.016,00;506.016,00;0,00
"0517048 000135/2019";"DISPENSA DE LICITACAO - POR VALOR";"Sabonete de Glicerina.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";975,00;897,00;78,00
"5030001 000084/2019";PREGAO;"Locação de impressoras e serviços de outsourcing de impressão, com assistência técnica e manutenção corretiva, preventiva e especializada, reposição de peças e insumos.
	
";Concluído;"COMPANHIA DE DESENVOLVIMENTO DE MINAS GERAIS";1.067.832,00;762.768,00;305.064,00
"1401460 000047/2019";PREGAO;"MATERIAL OPERACIONAL PARA OS ALUNOS DO CFSD BM";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";69.277,88;43.848,55;25.429,33
"1255302 000288/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MMH (OPME) para atendimento das necessidades de saúde dos usuários do SISAU, por meio de RP's aderidos.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";609.128,42;609.128,42;0,00
"1250021 000034/2019";"DISPENSA DE LICITACAO - POR VALOR";"BANDEJA EM AÇO INOX PARA CERIMONIAL";Concluído;"POLICIA MILITAR DE MINAS GERAIS";484,03;430,80;53,23
"1011014 000215/2019";"DISPENSA DE LICITACAO - POR VALOR";"Renovação de assinatura da plataforma Revista dos Tribunais Online";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";16.534,34;16.534,34;0,00
"2012008 001709/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";TRAMADOL;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.443,51;3.443,50;0,01
"2012008 001760/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PULSEIRA P/IDENTIFICACAO DE PACIENTE";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";400,00;400,00;0,00
"1511189 000248/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE LUVAS DE SEGURANÇA/RASPA DE COURO ATRAVÉS DO PL. Nº 68/2019 E RP Nº 138/2019. SEI Nº 1510.01.0170053/2019-54.";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";390,60;390,60;0,00
"2261032 000380/2019";PREGAO;"MICROSCOPIO CONFOCAL";Concluído;"FUNDACAO EZEQUIEL DIAS";1.106.684,31;915.000,00;191.684,31
"2012008 001735/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";OLAPARIBE;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";48.358,87;48.358,86;0,01
"2012008 001747/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";FUROSEMIDA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.983,90;1.983,90;0,00
"1255302 000259/2019";"DISPENSA DE LICITACAO - POR VALOR";"Manutenção da rede de gases medicinais do HPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";9.547,75;8.655,35;892,40
"2012008 001770/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";VORICONAZOL;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";208.862,00;208.862,00;0,00
"5131001 000002/2019";PREGAO;"A presente licitação tem por objetivo a contratação de instituição financeira oficial, para depósito das disponibilidade de caixa e serviços correlatos.";Concluído;"INSTITUTO DE DESENVOLVIMENTO INTEGRADO DE MG";0,00;0,00;0,00
"2012008 001723/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"NICOTINA -";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";5.217,72;5.217,72;0,00
"2012008 001713/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";ONDANSETRONA;Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";3.775,20;3.775,20;0,00
"2261032 000273/2019";PREGAO;"CAIXA PARA TRANSPORTE MATERIAL BIOLÓGICO.";Concluído;"FUNDACAO EZEQUIEL DIAS";27.000,00;0,00;27.000,00
"0519031 000333/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE MEDICAMENTOS PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";539,60;539,60;0,00
"2121003 000004/2019";PREGAO;"Contratação de empresa especializada para a revitalização do imóvel do IPSM localizado à Rua Paraíba, nº 596, Bairro Savassi, Belo Horizonte/MG.";Concluído;"INST.PREV.DOS SERV.MILITARES DO ESTADO M.GERAIS";74.419,15;64.000,00;10.419,15
"1321129 000189/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"THYROGEN 1,1MG - ATA 198/2018 -                                                                      PROCESSO SEI Nº 1320.01.0031958/2019-50";Concluído;"SECRETARIA DE ESTADO DA SAUDE";6.899,24;6.899,24;0,00
"1011014 000071/2019";PREGAO;"produtora de eventos";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";1.200.000,00;80.000,00;1.120.000,00
"0501044 000660/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"REAGENTES E PRODUTOS QUÍMICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";6.682,50;6.682,50;0,00
"1261029 000011/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Açúcar cristal para atender demanda da regional.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";431,52;431,52;0,00
"0511023 000145/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de DIETA para consumo na Unidade HCM.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";37.518,80;37.518,80;0,00
"1259968 000050/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Compra no RP 60/2019";Concluído;"POLICIA MILITAR DE MINAS GERAIS";67.164,99;67.164,99;0,00
"0502019 000101/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Material Radiológico referente RP: 331/2018.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";8.482,70;8.482,70;0,00
"2311076 000474/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS
RP         216  2019
PLAN     89   2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";345,30;345,30;0,00
"1091002 000217/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE MONITORES (INFORMÁTICA)";Concluído;"PROCURADORIA GERAL DE JUSTICA";92.300,00;92.300,00;0,00
"1255302 000241/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"Prótese otológica para atendimento das necessidades de saúde dos usuários do SISAU, através de carona.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";12.410,86;12.410,86;0,00
"2311076 000432/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Planejamento:191/2018

Registro de Preços: 256/2018

Objeto: AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";1.200,00;1.200,00;0,00
"2331032 000047/2019";"DISPENSA DE LICITACAO - POR VALOR";Desengraxante;Concluído;"INSTITUTO DE METROLOGIA E QUALIDADE DE MG";1.593,00;0,00;1.593,00
"1091002 000179/2019";INEXIGIBILIDADE;"Contratação do autor original para revisão do projeto estrutural da edificação (centro - Gov. Valadares/MG), com intuito de verificar a possibilidade de adequação da rampa de acesso dos veículos";Concluído;"PROCURADORIA GERAL DE JUSTICA";2.800,00;2.800,00;0,00
"1261447 000016/2019";"DISPENSA DE LICITACAO";"Contrato de locação de imóvel.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";2.147.616,00;644.284,80;1.503.331,20
"2251003 000026/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISIÇÃO DE LÂMPADAS - ADESÃO CARONA  - CONFORME ARP 187/2019 - SEPLAG/MG";Concluído;"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";963,00;963,00;0,00
"1255302 000265/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de Dieta Enteral para atendimento do SISAU, através de Registro de Preço realizado no SIRP.
Unidade de Pedido: CAF/HPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";2.070,00;2.070,00;0,00
"1255302 000264/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de Reagentes e Produtos Químicos para atendimento do SISAU através de Registro de Preço realizado no SIRP.
Unidade de Pedido: CAF/HPM";Concluído;"POLICIA MILITAR DE MINAS GERAIS";4.110,00;4.110,00;0,00
"2311076 000300/2019";PREGAO;"ELEMENTO FILTRANTE PARA BEBEDOUROS";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";7.961,68;4.560,96;3.400,72
"0519031 000289/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"AQUISICAO DE MEDICAMENTOS PARA ATENDER O HRJP";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";72.908,41;72.908,38;0,03
"2101024 000001/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de material de escritório para atender demanda do Escritório Regional Noroeste e demais áreas.";Concluído;"INSTITUTO ESTADUAL DE FLORESTAS-IEF";4.981,00;4.981,00;0,00
"1021007 000218/2019";"REGISTRO DE PRECOS NAO REALIZADO NO SIRP";"ADESÃO A ATA DE REGISTRO DE PREÇOS 03/2019 do Edital nº 3824 - Pregão Eletrônico nº 293/2018 – SERVIÇO REGISTRO DE PREÇOS PROCESSO ADM. P841874/2017 da Prefeitura de Fortaleza.";Concluído;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";341.272,32;341.272,32;0,00
"1031018 000655/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Convite e Catálogos - Galeria de Arte Livretos - Medalha Ruy Gouthier de Vilhena - ARP  139/2019";Concluído;"TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS";2.852,00;2.852,00;0,00
"1321033 000048/2019";"DISPENSA DE LICITACAO - POR VALOR";"PACOTES DE AÇÚCAR PARA ATENDER A DEMANDA DA GRS.";Concluído;"SECRETARIA DE ESTADO DA SAUDE";373,95;450,00;-76,05
"2311076 000389/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Planejamento:407/2018

Registro de Preços: 08/2019

Objeto: MATERIAL MÉDICO HOSPITALAR - CATETERES E DIVERSOS";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";9.120,00;9.120,00;0,00
"2351700 000001/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de Material de Consumo para atender às oficinas de Cerâmica da Unidade Escola de Design,";Concluído;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";4.311,49;0,00;4.311,49
"1071030 000077/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de computadores, notebooks, workstations, tablets e licenças de software de escritório.";Concluído;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MG";358.153,00;358.153,00;0,00
"1321129 000216/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Execução da Ata 95/2019
SEI 1320.01.0117520/2019-28";Concluído;"SECRETARIA DE ESTADO DA SAUDE";55.089,00;55.089,00;0,00
"2012008 001575/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COLETOR DE AMOSTRAS USO LABORATORIO -";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";1.980,00;1.980,00;0,00
"1261019 000018/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Aquisição de artigos domésticos e descartáveis para manutenção da see-leopoldina.";Concluído;"SECRETARIA DE ESTADO DE EDUCACAO";710,80;710,80;0,00
"1250071 000134/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"PEÇAS PARA VIDEOMONITORAMENTO";Concluído;"POLICIA MILITAR DE MINAS GERAIS";210.883,96;210.883,96;0,00
"1255302 000285/2019";"DISPENSA DE LICITACAO - POR VALOR";"Serviço de fornecimento e instalação de divisórias.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";0,00;0,00;0,00
"1250021 000029/2019";"DISPENSA DE LICITACAO - POR VALOR";"PILHAS 2AA E BATERIAS 9V, RECARREGÁVEIS";Concluído;"POLICIA MILITAR DE MINAS GERAIS";716,66;420,70;295,96
"1011014 000162/2019";PREGAO;"livros para a Biblioteca Deputado Camilo Prates";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";60.000,00;60.000,00;0,00
"0509025 000453/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";258,60;258,60;0,00
"0521009 000288/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";214,70;214,70;0,00
"0509025 000450/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";MEDICAMENTOS;Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";80.595,00;80.595,00;0,00
"1191002 000013/2019";"DISPENSA DE LICITACAO - POR VALOR";"materiais diversos para construção";Concluído;"SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS";4.762,23;3.350,00;1.412,23
"1259662 000050/2019";PREGAO;"Material destinado a obra de recuperação do muro da CPM e DTS, com mão de obra orgânica.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";20.735,67;17.499,60;3.236,07
"0516013 000551/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 177/2019.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";37.598,50;37.598,49;0,01
"0516013 000559/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"RP 178/2019.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";13.281,53;13.281,53;0,00
"1451044 000140/2019";PREGAO;"Fornecimento contínuo de refeições e lanches prontos, na forma transportada, às Unidades Prisionais: Presídio de Guaranésia, Presídio de Monte Santo de Minas e Presídio de São Sebastião do Paraíso.";Concluído;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLIC";10.502.391,62;8.644.153,56;1.858.238,06
"0501044 000489/2019";PREGAO;"Serviço de instalação de instalação e montagem de estrutura pré moldada em concreto - Execução da fundação para apoio de novo reservatório de água, tipo taça, com capacidade de 30m³.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";0,00;0,00;0,00
"1321129 000251/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"Ata RP 95/2019 - CANDESARTANA 8 MG - SEI - 1320.01.0134876/2019-23";Concluído;"SECRETARIA DE ESTADO DA SAUDE";663,00;663,00;0,00
"1402015 000012/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de notebook e impressora para a 5ª Cia Ind em Sete Lagoas.";Concluído;"CORPO DE BOMBEIROS MILITAR DE MINAS GERAIS";4.958,10;4.764,00;194,10
"2261032 000339/2019";PREGAO;REAGENTES;Concluído;"FUNDACAO EZEQUIEL DIAS";46.646,00;14.685,00;31.961,00
"0516013 000419/2019";PREGAO;"Aquisição de KIT PARA HISTEROSCOPIA CIRURGICA - Endoscopia Ginecológica para Maternidade Odete Valadares";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";56.740,02;39.000,00;17.740,02
"1091547 000001/2019";PREGAO;"Aquisição de HARDWARES destinados a compor o Laboratório da Divisão Especializada de Investigação aos Crimes Cibernéticos e Defesa do Consumidor. SEI 1510.01.0169723/2019-40.";Concluído;"PROCURADORIA GERAL DE JUSTICA";49.296,34;43.258,00;6.038,34
"1252157 000033/2019";"DISPENSA DE LICITACAO - POR VALOR";"Aquisição de Materiais para Manutenção do CTPM/BH.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.819,08;1.758,92;60,16
"2351053 000029/2019";PREGAO;"Aquisição de computadores, notebooks e workstations";Concluído;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";2.777.954,82;2.688.412,80;89.542,02
"2311076 000696/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"COMPUTADOR MODELO PADRÃO
RP 160/2019 - PLANEJAMENTO 20/2019";Concluído;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";189.567,00;189.567,00;0,00
"2261032 000301/2019";PREGAO;"REAGENTES E PRODUTOS QUÍMICOS";Concluído;"FUNDACAO EZEQUIEL DIAS";113.976,15;27.600,00;86.376,15
"2012024 000025/2019";"DISPENSA DE LICITACAO - POR VALOR";"Refil Purificador de Água.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";7.125,00;4.950,00;2.175,00
"1259965 000087/2019";PREGAO;"Ração, Feno, Capim Peletizado e Sal Mineral.";Concluído;"POLICIA MILITAR DE MINAS GERAIS";1.376.409,60;451.892,16;924.517,44
"0518005 000187/2019";PREGAO;"aquisição de instrumental cirúrgico de Bucomaxilo e Odontologia para o HRAD/FHEMIG.";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";16.205,11;0,00;16.205,11
"1011014 000185/2019";PREGAO;"materiais de fibra ótica";Concluído;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";349.407,06;172.453,00;176.954,06
"0501044 000765/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MEDICAMENTOS ALOPÁTICOS";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";21.718,69;21.718,69;0,00
"1320045 000020/2019";PREGAO;"PLACA PARA USO LABORATÓRIO";Concluído;"SECRETARIA DE ESTADO DA SAUDE";128.000,00;81.233,50;46.766,50
"2012008 000270/2019";PREGAO;"Medicamentos Manipulados.";Concluído;"INST.DE PREVIDENCIA DOS SERVIDORES DO EST.M.GERAIS";39.527,16;0,00;39.527,16
"0520009 000368/2019";"REGISTRO DE PRECOS REALIZADO NO SIRP";"MATERIAL MÉDICO HOSPITALAR - COMPRA ESTADUAL";Concluído;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";11.315,20;11.315,20;0,00
"2171005 000036/2019";"DISPENSA DE LICITACAO - POR VALOR";"Material laboratório cirúrgico, material restauração material papelaria, EPI´S";Concluído;"FUNDACAO DE ARTE DE OURO PRETO-FAOP";7.724,69;5.106,07;2.618,62
"1511189 000205/2019";PREGAO;"Reparos, adequações, conservação e manutenções preventivas e corretivas para os imóveis que compõem o prédio SEDE do DETRAN/MG e seus anexos";Concluído;"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";597.116,24;597.116,24;0,00
"1071030 000079/2019";"DISPENSA DE LICITACAO - POR VALOR";"Envelope e lacre de segurança de plástico.";Concluído;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MG";7.090,00;2.733,50;4.356,50
"1271005 000057/2019";"DISPENSA DE LICITACAO - POR VALOR";"SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO E LOCAÇÃO DE BARRACAS E SIMILARES, CONFORME TERMO DE REFERÊNCIA.";Concluído;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";17.535,00;17.200,00;335,00
